ruta,lineas,main,class,plugin,tests,importado,ultima_mod,estado
knowledge/engine/determinism.py,109,False,False,False,True,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/errors.py,107,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/eventbus.py,184,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
knowledge/engine/extraction_service.py,530,False,True,False,False,False,2026-08-01 23:50:48 +0200,dormido
knowledge/engine/extractors/__init__.py,24,False,False,False,False,True,2026-07-04 01:30:36 +0200,libreria
knowledge/engine/extractors/audio.py,217,False,True,False,False,False,2026-07-20 13:35:48 +0200,dormido
knowledge/engine/extractors/base.py,165,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/extractors/git.py,316,False,True,False,False,False,2026-07-22 19:16:17 +0200,dormido
knowledge/engine/extractors/image.py,246,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
knowledge/engine/extractors/markdown.py,217,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
knowledge/engine/extractors/office.py,283,False,True,False,False,False,2026-07-16 16:52:37 +0200,dormido
knowledge/engine/extractors/pdf.py,233,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
knowledge/engine/extractors/video.py,317,False,True,False,False,False,2026-07-20 13:35:48 +0200,dormido
knowledge/engine/extractors/web.py,333,False,True,False,False,True,2026-07-22 19:16:17 +0200,activo
knowledge/engine/feedback.py,213,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/governance_store.py,133,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
knowledge/engine/graphrag.py,411,False,True,False,False,False,2026-08-02 03:38:16 +0200,dormido
knowledge/engine/jobs.py,243,False,False,False,False,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/knowledge_base.py,383,False,False,False,False,False,2026-08-02 01:40:36 +0200,libreria
knowledge/engine/knowledge_verifier.py,141,False,False,False,False,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/lineage_store.py,190,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
knowledge/engine/lock.py,48,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/logging_config.py,29,False,False,False,False,True,2026-07-22 19:16:17 +0200,libreria
knowledge/engine/memory_store.py,288,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
knowledge/engine/metrics.py,328,False,False,False,False,True,2026-07-22 19:20:30 +0200,libreria
knowledge/engine/migrations.py,218,False,True,False,False,False,2026-08-02 00:05:55 +0200,dormido
knowledge/engine/models.py,437,False,True,False,False,True,2026-07-19 18:45:12 +0200,activo
knowledge/engine/notify.py,395,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/ontology/__init__.py,25,False,False,False,False,True,2026-07-04 01:30:36 +0200,libreria
knowledge/engine/ontology/internal.py,129,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/ontology/mapping.py,70,False,False,False,False,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/ontology/registry.py,39,False,False,False,False,True,2026-07-04 01:30:36 +0200,libreria
knowledge/engine/ontology/schema_org.py,142,False,False,False,True,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/orchestrator.py,187,False,False,False,True,True,2026-07-22 19:20:30 +0200,libreria
knowledge/engine/parser.py,152,False,False,False,False,True,2026-08-02 00:01:29 +0200,libreria
knowledge/engine/pipeline.py,391,False,True,False,False,False,2026-07-22 19:16:17 +0200,dormido
knowledge/engine/qdrant_sync.py,313,False,False,False,False,False,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/reader.py,375,False,True,False,False,True,2026-07-20 19:52:13 +0200,activo
knowledge/engine/recommendation.py,104,False,True,False,False,False,2026-07-20 13:35:48 +0200,dormido
knowledge/engine/repository.py,172,False,True,False,False,True,2026-07-22 19:16:17 +0200,activo
knowledge/engine/rules.py,713,False,True,False,False,True,2026-07-30 16:20:52 +0200,activo
knowledge/engine/scanner.py,193,False,False,False,False,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/snapshot_store.py,76,False,False,False,False,True,2026-07-16 16:52:37 +0200,libreria
knowledge/engine/sqlite_writer.py,369,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/storage_verifier.py,108,False,False,False,False,True,2026-07-25 15:19:11 +0200,libreria
knowledge/engine/subscribers.py,274,False,False,False,False,True,2026-07-22 19:20:30 +0200,libreria
knowledge/engine/validator.py,319,False,False,False,False,True,2026-08-02 00:03:48 +0200,libreria
knowledge/engine/vector_base.py,122,False,True,False,True,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/vector_ollama.py,137,False,True,False,True,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/vector_qdrant.py,272,False,True,False,True,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/vector_retriever.py,255,False,True,False,True,True,2026-08-02 03:39:25 +0200,activo
knowledge/engine/verifier.py,119,False,False,False,False,True,2026-07-20 13:35:48 +0200,libreria
knowledge/evaluation/__init__.py,2,False,False,False,False,True,2026-07-23 03:51:14 +0200,esbozo
knowledge/evaluation/corpus/__init__.py,2,False,False,False,False,True,2026-07-23 03:51:14 +0200,esbozo
mantenimiento/ura_maintenance.py,663,True,True,False,True,True,2026-07-28 18:31:56 +0200,activo
mantenimiento/ura_maintenance_remote.py,255,True,False,False,False,False,2026-07-20 13:35:48 +0200,dormido
memoria_fallos.py,68,False,True,False,True,True,2026-07-26 19:15:38 +0200,activo
memoria_movimiento.py,60,False,True,False,True,True,2026-07-26 19:15:38 +0200,activo
mochila_engine.py,224,False,True,False,False,True,2026-07-26 19:15:38 +0200,activo
monitor/error_logger.py,149,False,True,False,False,True,2026-08-03 01:02:24 +0200,activo
monitor/health_check.py,220,True,False,False,True,True,2026-07-25 23:38:37 +0200,activo
monitor/log_alerts.py,131,True,False,False,False,True,2026-08-03 01:02:24 +0200,activo
monitor/mac_heartbeat.py,145,False,True,False,False,True,2026-07-26 19:15:38 +0200,activo
monitor/openclaw.py,254,True,False,False,True,True,2026-07-26 19:15:38 +0200,activo
monitor/snc.py,685,True,False,False,False,True,2026-08-01 23:47:45 +0200,activo
monitor/snc_remote.py,100,True,False,False,False,True,2026-07-26 19:15:38 +0200,activo
motor/__init__.py,15,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
